,Sampling p(meas = 1),# wrong decisions p0.0002,# wrong decisions p0.005,# wrong decisions p0.008
circuit345.qasm,0.6888404130879198,34.0,54.0,51.0
circuit526.qasm,0.07322330470336391,10.0,42.0,45.0
circuit340.qasm,0.31250000000000044,30.0,39.0,49.0
circuit326.qasm,0.34958555994371154,35.0,43.0,50.0
circuit703.qasm,0.827665042944955,18.0,43.0,44.0
circuit425.qasm,0.25000000000000044,27.0,47.0,48.0
circuit126.qasm,0.6993813693763383,33.0,48.0,51.0
circuit772.qasm,0.1464466094067267,21.0,31.0,49.0
circuit454.qasm,0.9305679560328751,7.0,45.0,44.0
circuit393.qasm,0.7461413801125765,22.0,43.0,51.0
circuit529.qasm,0.6584708691207957,31.0,41.0,44.0
circuit733.qasm,0.12500000000000056,11.0,34.0,42.0
circuit134.qasm,0.28488952738362483,27.0,56.0,47.0
circuit181.qasm,0.8535533905932733,14.0,44.0,46.0
circuit483.qasm,0.27458161413599064,31.0,44.0,50.0
circuit985.qasm,0.7651650429449547,25.0,42.0,53.0
circuit944.qasm,0.3400211661552938,38.0,44.0,50.0
circuit998.qasm,0.3719265759202986,40.0,48.0,49.0
circuit287.qasm,0.7156765759202981,36.0,52.0,41.0
circuit148.qasm,0.20312500000000072,20.0,43.0,48.0
circuit119.qasm,0.2919733047033635,32.0,44.0,44.0
circuit510.qasm,0.31138956543960217,38.0,52.0,53.0
circuit224.qasm,0.294424152351682,27.0,40.0,52.0
circuit608.qasm,0.3803616523516819,37.0,46.0,53.0
circuit009.qasm,0.1982233047033637,22.0,37.0,43.0
circuit971.qasm,0.25000000000000067,24.0,39.0,50.0
circuit890.qasm,0.7842560649285166,16.0,50.0,41.0
circuit306.qasm,0.6375515759202983,39.0,53.0,44.0
circuit726.qasm,0.3346307664876721,34.0,54.0,44.0
circuit697.qasm,0.3232233047033636,25.0,46.0,42.0
circuit741.qasm,0.15291869631880656,19.0,40.0,40.0
circuit155.qasm,0.6182099487954539,45.0,43.0,49.0
circuit601.qasm,0.7133883476483176,29.0,39.0,46.0
circuit004.qasm,0.6767766952966366,29.0,51.0,50.0
circuit640.qasm,0.6271216981404102,34.0,53.0,59.0
circuit869.qasm,0.6767766952966365,29.0,48.0,50.0
circuit321.qasm,0.6194757282719799,42.0,50.0,50.0
circuit339.qasm,0.10983495705504537,16.0,36.0,42.0
circuit197.qasm,0.7180222988241589,26.0,52.0,45.0
circuit212.qasm,0.7163492924096972,23.0,46.0,52.0
circuit824.qasm,0.25000000000000067,28.0,37.0,43.0
circuit417.qasm,0.6118258476483184,38.0,41.0,46.0
circuit871.qasm,0.6767766952966368,34.0,48.0,49.0
circuit718.qasm,0.3415291308792039,32.0,35.0,52.0
circuit499.qasm,0.9523398041922779,2.0,40.0,30.0
circuit017.qasm,0.17233495705504537,25.0,35.0,51.0
circuit318.qasm,0.7209708691207957,23.0,39.0,41.0
circuit018.qasm,0.35747936963188054,33.0,55.0,51.0
circuit038.qasm,0.3943831319696847,38.0,52.0,48.0
circuit789.qasm,0.6778184500097124,34.0,40.0,50.0
circuit394.qasm,0.38177146759962677,36.0,43.0,49.0
circuit899.qasm,0.3308058261758411,37.0,48.0,49.0
circuit201.qasm,0.7271177172801987,28.0,49.0,44.0
circuit435.qasm,0.6876626193763378,31.0,47.0,58.0
circuit591.qasm,0.6045685649285174,40.0,57.0,55.0
circuit078.qasm,0.8383883476483178,9.0,33.0,39.0
circuit121.qasm,0.3887293696318808,45.0,54.0,39.0
circuit580.qasm,0.12081614135990115,11.0,38.0,47.0
circuit651.qasm,0.6767766952966366,35.0,50.0,56.0
circuit752.qasm,0.25000000000000033,29.0,47.0,48.0
circuit308.qasm,0.6767766952966368,32.0,38.0,54.0
circuit548.qasm,0.20312500000000078,25.0,46.0,41.0
circuit180.qasm,0.6127736628323779,42.0,48.0,48.0
circuit564.qasm,0.25070388611955263,25.0,47.0,39.0
circuit406.qasm,0.8330266952966363,24.0,46.0,48.0
circuit256.qasm,0.9640388251536707,6.0,32.0,44.0
circuit072.qasm,0.3750000000000003,37.0,45.0,45.0
circuit908.qasm,0.25000000000000017,27.0,32.0,45.0
circuit165.qasm,0.6169575214724774,37.0,59.0,52.0
circuit630.qasm,0.713388347648318,28.0,56.0,50.0
circuit368.qasm,0.6559530854422786,41.0,55.0,51.0
circuit626.qasm,0.8090339780164373,17.0,43.0,43.0
circuit447.qasm,0.6996589780164375,36.0,36.0,47.0
circuit137.qasm,0.24463834764831893,24.0,39.0,29.0
circuit642.qasm,0.625,43.0,49.0,53.0
circuit978.qasm,0.6142766952966365,34.0,46.0,43.0
circuit409.qasm,0.3140367120398509,28.0,53.0,45.0
circuit996.qasm,0.32322330470336325,33.0,35.0,49.0
circuit358.qasm,0.3024666308792043,28.0,35.0,43.0
circuit398.qasm,0.6011699020961392,43.0,51.0,49.0
circuit276.qasm,0.3750000000000003,32.0,55.0,40.0
circuit125.qasm,0.1418701528627665,16.0,36.0,54.0
circuit736.qasm,0.27288228271980136,36.0,46.0,51.0
circuit917.qasm,0.7667354345603977,17.0,39.0,53.0
circuit486.qasm,0.6767766952966365,39.0,44.0,48.0
circuit787.qasm,0.7507851958077207,21.0,46.0,45.0
circuit543.qasm,0.6638325214724774,31.0,42.0,59.0
circuit624.qasm,0.7522208691207958,22.0,40.0,58.0
circuit003.qasm,0.7499999999999994,28.0,41.0,43.0
circuit959.qasm,0.37820344734950195,36.0,52.0,56.0
circuit832.qasm,0.635263347648318,41.0,48.0,54.0
circuit771.qasm,0.6489723898581565,40.0,42.0,45.0
circuit527.qasm,0.736270630368119,26.0,48.0,51.0
circuit022.qasm,0.32322330470336336,37.0,37.0,42.0
circuit095.qasm,0.669194173824159,36.0,41.0,61.0
circuit250.qasm,0.25000000000000044,30.0,46.0,52.0
circuit735.qasm,0.32188289161544276,29.0,47.0,47.0
circuit776.qasm,0.35865716334346287,29.0,42.0,57.0
circuit982.qasm,0.37120873926376163,40.0,48.0,46.0
circuit864.qasm,0.3553537607362391,34.0,51.0,42.0
